product_id,sku,name,description,features,material,length_mm,dimensions,capacity,weight_kg,corrosion_resistant,uom,country_of_manufacture,category_id,timestamp,processed_timestamp
DA4160-0045-A,DA4160-0045-A,Aluminium Heavy Duty Full Extension Slide 450mm DA4160-0045-A,,,aluminium,17397.0,"{'length_mm': [450.0], 'thickness_mm': [], 'extension_percent': []}",,3.736,False,,,61.0,2025-11-17 09:32:36.078395,2025-11-17T09:40:42.470026
DA4160-0050-A,DA4160-0050-A,Aluminium Heavy Duty Full Extension Slide 500mm DA4160-0050-A,,,aluminium,17403.0,"{'length_mm': [500.0], 'thickness_mm': [], 'extension_percent': []}",,4.17,False,,,61.0,2025-11-17 09:32:36.078418,2025-11-17T09:40:42.470026
DA4160-0055-A,DA4160-0055-A,Aluminium Heavy Duty Full Extension Slide 550mm DA4160-0055-A,,,aluminium,17406.0,"{'length_mm': [550.0], 'thickness_mm': [], 'extension_percent': []}",,4.63,False,,,61.0,2025-11-17 09:32:36.078440,2025-11-17T09:40:42.470026
DA4160-0060-A,DA4160-0060-A,Aluminium Heavy Duty Full Extension Slide 600mm DA4160-0060-A,,,aluminium,17409.0,"{'length_mm': [600.0], 'thickness_mm': [], 'extension_percent': []}",,5.183,False,,,61.0,2025-11-17 09:32:36.078461,2025-11-17T09:40:42.470026
DA4160-0065-A,DA4160-0065-A,Aluminium Heavy Duty Full Extension Slide 650mm DA4160-0065-A,,,aluminium,17412.0,"{'length_mm': [650.0], 'thickness_mm': [], 'extension_percent': []}",,5.49,False,,,61.0,2025-11-17 09:32:36.078483,2025-11-17T09:40:42.470026
DA4160-0070-A,DA4160-0070-A,Aluminium Heavy Duty Full Extension Slide 700mm DA4160-0070-A,,,aluminium,17415.0,"{'length_mm': [700.0], 'thickness_mm': [], 'extension_percent': []}",,5.96,False,,,61.0,2025-11-17 09:32:36.078508,2025-11-17T09:40:42.470026
DA4160-0080-A,DA4160-0080-A,Aluminium Heavy Duty Full Extension Slide 800mm DA4160-0080-A,,,aluminium,17421.0,"{'length_mm': [800.0], 'thickness_mm': [], 'extension_percent': []}",,6.74,False,,,61.0,2025-11-17 09:32:36.078530,2025-11-17T09:40:42.470026
DA4160-0090-A,DA4160-0090-A,Aluminium Heavy Duty Full Extension Slide 900mm DA4160-0090-A,,,aluminium,17427.0,"{'length_mm': [900.0], 'thickness_mm': [], 'extension_percent': []}",,7.7,False,,,61.0,2025-11-17 09:32:36.078552,2025-11-17T09:40:42.470026
DA4160-0100-A,DA4160-0100-A,Aluminium Heavy Duty Full Extension Slide 1000mm DA4160-0100-A,,,aluminium,17430.0,"{'length_mm': [1000.0], 'thickness_mm': [], 'extension_percent': []}",,8.66,False,,,61.0,2025-11-17 09:32:36.078574,2025-11-17T09:40:42.470026
DA4160-0030-A,DA4160-0030-A,Aluminium Heavy Duty Full Extension Slide 300mm DA4160-0030-A,,,aluminium,17388.0,"{'length_mm': [300.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.078601,2025-11-17T09:40:42.470026
DA4160-0035,DA4160-0035,FULL EXTENSION HEAVY DUTY ALUMINIUM SLIDE 2,,,aluminium,17391.0,{'length_mm': [35]},,,False,Pair,,,2025-11-17 09:32:36.078627,2025-11-17T09:40:42.470026
DA4160-0035-A,DA4160-0035-A,Aluminium Heavy Duty Full Extension Slide 350mm DA4160-0035-A,,,aluminium,17391.0,"{'length_mm': [350.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.078652,2025-11-17T09:40:42.470026
DA4160-0040-A,DA4160-0040-A,Aluminium Heavy Duty Full Extension Slide 400mm DA4160-0040-A,,,aluminium,17394.0,"{'length_mm': [400.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.078679,2025-11-17T09:40:42.470026
DA4160-0045-A,DA4160-0045-A,Aluminium Heavy Duty Full Extension Slide 450mm DA4160-0045-A,,,aluminium,17397.0,"{'length_mm': [450.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.078704,2025-11-17T09:40:42.470026
DA4160-0050-A,DA4160-0050-A,Aluminium Heavy Duty Full Extension Slide 500mm DA4160-0050-A,,,aluminium,17403.0,"{'length_mm': [500.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.078730,2025-11-17T09:40:42.470026
DA4160-0055-A,DA4160-0055-A,Aluminium Heavy Duty Full Extension Slide 550mm DA4160-0055-A,,,aluminium,17406.0,"{'length_mm': [550.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.078755,2025-11-17T09:40:42.470026
DA4160-0060-A,DA4160-0060-A,Aluminium Heavy Duty Full Extension Slide 600mm DA4160-0060-A,,,aluminium,17409.0,"{'length_mm': [600.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.078780,2025-11-17T09:40:42.470026
DA4160-0065-A,DA4160-0065-A,Aluminium Heavy Duty Full Extension Slide 650mm DA4160-0065-A,,,aluminium,17412.0,"{'length_mm': [650.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.078806,2025-11-17T09:40:42.470026
DA4160-0070-A,DA4160-0070-A,Aluminium Heavy Duty Full Extension Slide 700mm DA4160-0070-A,,,aluminium,17415.0,"{'length_mm': [700.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.078833,2025-11-17T09:40:42.470026
DA4160-0080-A,DA4160-0080-A,Aluminium Heavy Duty Full Extension Slide 800mm DA4160-0080-A,,,aluminium,17421.0,"{'length_mm': [800.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.078859,2025-11-17T09:40:42.470026
DA4160-0090-A,DA4160-0090-A,Aluminium Heavy Duty Full Extension Slide 900mm DA4160-0090-A,,,aluminium,17427.0,"{'length_mm': [900.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.078885,2025-11-17T09:40:42.470026
DA4160-0100-A,DA4160-0100-A,Aluminium Heavy Duty Full Extension Slide 1000mm DA4160-0100-A,,,aluminium,17430.0,"{'length_mm': [1000.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.078912,2025-11-17T09:40:42.470026
DA4190,DA4190,Slide and Tilt Drawer System DA4190,"Slide and tilt drawer system DA4190 provides access to drawer contents at & above shoulder height, load rating 65kg, angle of tilt can be preset by installer. Used in Furniture cabinet hardware","DA - Aluminium Can be used with the locking handle kit, DBHAND Corrosion resistant Gives access to drawer content at and above shoulder height Temperature Range Between -20º & 70º C Life time guarantee: it's Quick Ship ™ slides against defects in material and workmanship. Please Read more under Help and policy section. Used within industrial and furniture cabinet hardware",,,,"{'value': 65.0, 'unit': 'kg'}",,False,Kit,,18.0,2025-11-17 09:32:36.078969,2025-11-17T09:40:42.470026
DA4190-0060-4,DA4190-0060-4,Slide and Tilt Drawer System 600mm DA4190-0060-4,,,,17409.0,"{'length_mm': [600.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Kit,,18.0,2025-11-17 09:32:36.079000,2025-11-17T09:40:42.470026
DA4190-0100-4,DA4190-0100-4,Slide and Tilt Drawer System 1000mm DA4190-0100-4,,,,17430.0,"{'length_mm': [1000.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Kit,,18.0,2025-11-17 09:32:36.079028,2025-11-17T09:40:42.470026
DA5321,DA5321,Aluminium Telescopic Slide DA5321,"Aluminium telescopic slide DA5321 with load rating upto 50kg, light duty with 100% extension, 19.1mm slide thickness & less magnatic. Used for harsh envoirnment & has corrosion resistance.",DA - Aluminium Light Duty Slide Corrosion resistant and less magentic Temperature Range Between -20º & 70º C Ideal for lightweight option for harsh environment Life time guarantee: it's Quick Ship ™ slides against defects in material and workmanship. Please Read more under Help and policy section.,aluminium,,"{'length_mm': [19.1], 'thickness_mm': [], 'extension_percent': []}","{'value': 50.0, 'unit': 'kg'}",,False,Pair,,61.0,2025-11-17 09:32:36.079080,2025-11-17T09:40:42.470026
DA5321-0030,DA5321-0030,Aluminium Telescopic Slide 300mm DA5321-0030,,,aluminium,17388.0,"{'length_mm': [300.0], 'thickness_mm': [], 'extension_percent': []}",,0.72,False,,,61.0,2025-11-17 09:32:36.079105,2025-11-17T09:40:42.470026
DA5321-0035,DA5321-0035,Aluminium Telescopic Slide 350mm DA5321-0035,,,aluminium,17391.0,"{'length_mm': [350.0], 'thickness_mm': [], 'extension_percent': []}",,0.86,False,,,61.0,2025-11-17 09:32:36.079128,2025-11-17T09:40:42.470026
DA5321-0040,DA5321-0040,Aluminium Telescopic Slide 400mm DA5321-0040,,,aluminium,17394.0,"{'length_mm': [400.0], 'thickness_mm': [], 'extension_percent': []}",,0.98,False,,,61.0,2025-11-17 09:32:36.079150,2025-11-17T09:40:42.470026
DA5321-0045,DA5321-0045,Aluminium Telescopic Slide 450mm DA5321-0045,,,aluminium,17397.0,"{'length_mm': [450.0], 'thickness_mm': [], 'extension_percent': []}",,1.11,False,,,61.0,2025-11-17 09:32:36.079171,2025-11-17T09:40:42.470026
DA5321-0050,DA5321-0050,Aluminium Telescopic Slide 500mm DA5321-0050,,,aluminium,17403.0,"{'length_mm': [500.0], 'thickness_mm': [], 'extension_percent': []}",,1.24,False,,,61.0,2025-11-17 09:32:36.079192,2025-11-17T09:40:42.470026
DA5321-0055,DA5321-0055,Aluminium Telescopic Slide 550mm DA5321-0055,,,aluminium,17406.0,"{'length_mm': [550.0], 'thickness_mm': [], 'extension_percent': []}",,1.37,False,,,61.0,2025-11-17 09:32:36.079213,2025-11-17T09:40:42.470026
DA5321-0060,DA5321-0060,Aluminium Telescopic Slide 600mm DA5321-0060,,,aluminium,17409.0,"{'length_mm': [600.0], 'thickness_mm': [], 'extension_percent': []}",,1.5,False,,,61.0,2025-11-17 09:32:36.079233,2025-11-17T09:40:42.470026
DA5321-0065,DA5321-0065,Aluminium Telescopic Slide 650mm DA5321-0065,,,aluminium,17412.0,"{'length_mm': [650.0], 'thickness_mm': [], 'extension_percent': []}",,1.62,False,,,61.0,2025-11-17 09:32:36.079257,2025-11-17T09:40:42.470026
DA5321-0070,DA5321-0070,Aluminium Telescopic Slide 700mm DA5321-0070,,,aluminium,17415.0,"{'length_mm': [700.0], 'thickness_mm': [], 'extension_percent': []}",,1.76,False,,,61.0,2025-11-17 09:32:36.079278,2025-11-17T09:40:42.470026
DA5321-0080,DA5321-0080,Aluminium Telescopic Slide 800mm DA5321-0080,,,aluminium,17421.0,"{'length_mm': [800.0], 'thickness_mm': [], 'extension_percent': []}",,2.0,False,,,61.0,2025-11-17 09:32:36.079298,2025-11-17T09:40:42.470026
DA5321-0030,DA5321-0030,Aluminium Telescopic Slide 300mm DA5321-0030,,,aluminium,17388.0,"{'length_mm': [300.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.079324,2025-11-17T09:40:42.470026
DA5321-0035,DA5321-0035,Aluminium Telescopic Slide 350mm DA5321-0035,,,aluminium,17391.0,"{'length_mm': [350.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.079350,2025-11-17T09:40:42.470026
DA5321-0040,DA5321-0040,Aluminium Telescopic Slide 400mm DA5321-0040,,,aluminium,17394.0,"{'length_mm': [400.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.079375,2025-11-17T09:40:42.470026
DA5321-0045,DA5321-0045,Aluminium Telescopic Slide 450mm DA5321-0045,,,aluminium,17397.0,"{'length_mm': [450.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.079401,2025-11-17T09:40:42.470026
DA5321-0050,DA5321-0050,Aluminium Telescopic Slide 500mm DA5321-0050,,,aluminium,17403.0,"{'length_mm': [500.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.079428,2025-11-17T09:40:42.470026
DA5321-0055,DA5321-0055,Aluminium Telescopic Slide 550mm DA5321-0055,,,aluminium,17406.0,"{'length_mm': [550.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.079488,2025-11-17T09:40:42.470026
DA5321-0060,DA5321-0060,Aluminium Telescopic Slide 600mm DA5321-0060,,,aluminium,17409.0,"{'length_mm': [600.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.079515,2025-11-17T09:40:42.470026
DA5321-0065,DA5321-0065,Aluminium Telescopic Slide 650mm DA5321-0065,,,aluminium,17412.0,"{'length_mm': [650.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.079541,2025-11-17T09:40:42.470026
DA5321-0070,DA5321-0070,Aluminium Telescopic Slide 700mm DA5321-0070,,,aluminium,17415.0,"{'length_mm': [700.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.079568,2025-11-17T09:40:42.470026
DA5321-0080,DA5321-0080,Aluminium Telescopic Slide 800mm DA5321-0080,,,aluminium,17421.0,"{'length_mm': [800.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Pair,,61.0,2025-11-17 09:32:36.079594,2025-11-17T09:40:42.470026
